time,bus_voltage,array_charge_limit,array_discharge_limit,pack1_soc,pack1_voltage,pack1_cell_v,pack1_temp,pack1_current,pack1_charge_limit,pack1_discharge_limit,pack1_mode,pack2_soc,pack2_voltage,pack2_cell_v,pack2_temp,pack2_current,pack2_charge_limit,pack2_discharge_limit,pack2_mode,pack3_soc,pack3_voltage,pack3_cell_v,pack3_temp,pack3_current,pack3_charge_limit,pack3_discharge_limit,pack3_mode
232.0,1144.431214281059,943.0269973246668,1494.2053994649334,53.83409679899416,1144.4619988166544,3.715785710443683,39.16524208532837,149.5002326597716,330.6544247370539,501.33088494741077,CONNECTED,58.30518588553287,1144.4483121673702,3.7157412732706825,39.66958973087293,63.46449394817395,324.2127757894883,500.04255515789765,CONNECTED,61.64715398455325,1144.4268872283008,3.7156717117801974,40.442080128024735,-12.96472660795127,314.3423324415556,498.0684664883111,CONNECTED
233.0,1144.445787138817,943.0241230838501,1494.20482461677,53.86641733963737,1144.4765147420947,3.7158328400717355,39.16286605299851,149.2315143125691,330.68490130779685,501.33698026155935,CONNECTED,58.31892201683308,1144.462873699248,3.715788550971584,39.66830424998581,63.422938909127616,324.2292514448265,500.0458502889653,CONNECTED,61.64440779244784,1144.4415634681848,3.715719361909691,40.44214627701472,-12.654453221694489,314.3413743612834,498.06827487225667,CONNECTED
234.0,1144.460370866446,943.0215829626346,1494.2043165925268,53.898679930261785,1144.4910417860424,3.7158800057988386,39.16049495886213,148.96394548826746,330.71531452161906,501.3430629043238,CONNECTED,58.33264922764002,1144.4774462010225,3.7158358642890343,39.667020440313294,63.38175090022218,324.2457056001816,500.0491411200363,CONNECTED,61.64172860486353,1144.4562500811498,3.7157670457180187,40.44220378193682,-12.345696388483027,314.34052765421154,498.0681055308423,CONNECTED
235.0,1144.4749654235202,943.0193747736262,1494.203874954725,53.930884818735436,1144.5055799069364,3.7159272074900533,39.158128791346066,148.69752112883984,330.7456645265647,501.34913290531296,CONNECTED,58.34636759693744,1144.4920296316266,3.7158832130896964,39.665738293433456,63.34092757765852,324.26213836398983,500.05242767279793,CONNECTED,61.63911609429354,1144.470947029105,3.7158147630815095,40.44225269937792,-12.03844870649802,314.3397915912087,498.0679583182417,CONNECTED
236.0,1144.489570769712,943.0174963438881,1494.2034992687775,53.963032251835806,1144.5201290633197,3.715974445010778,39.15576753887038,148.4322361989335,330.77595147077034,501.35519029415406,CONNECTED,58.36007720320414,1144.5066239500943,3.715930597240566,39.66445780097383,63.30046661016367,324.2785498440518,500.05570996881033,CONNECTED,61.636569934829765,1144.485654274049,3.7158625138767825,40.44229308555113,-11.732702809108744,314.33916544796267,498.0678330895925,CONNECTED
237.0,1144.504186864793,943.0159455148367,1494.2031891029674,53.99512247525473,1144.5346892138398,3.7160217182267523,39.15341118984891,148.16808568579611,330.80617550245915,501.3612351004918,CONNECTED,58.37377812441672,1144.5212291155624,3.7159780166089686,39.663178954611155,63.26036567893703,324.294940147535,500.05898802950696,CONNECTED,61.634089802155124,1144.5003717780687,3.7159102979807423,40.44232499629855,-11.428451364728463,314.3386485049456,498.0677297009891,CONNECTED
238.0,1144.5188136686324,943.0147201421355,1494.202944028427,54.02715573360324,1144.5492603172472,3.7160690270040497,39.15105973268973,147.9050645991191,330.83633676993395,501.3672673539868,CONNECTED,58.38747043805227,1144.535845087269,3.716025471062562,39.661901746071194,63.22062247757781,324.3113093809772,500.0622618761954,CONNECTED,61.631675373536055,1144.5150995033396,3.715958115270583,40.442348487093966,-11.125687076688436,314.3382400473785,498.0676480094757,CONNECTED
239.0,1144.5334511412007,943.0138180955918,1494.2027636191183,54.0591322704164,1144.5638423323985,3.716116371209086,39.148713155795654,147.64316797098724,330.86643542157145,501.37328708431426,CONNECTED,58.40115422109103,1144.5504718245566,3.7160729604693397,39.660626167128484,63.18123471206128,324.3276576502887,500.06553153005774,CONNECTED,61.6293263278149,1144.5298374121267,3.716005965623788,40.44236361304552,-10.824402683051689,314.33793936519726,498.06758787303943,CONNECTED
240.0,1144.548099242568,943.013237259052,1494.2026474518102,54.09105232815816,1144.5784352182561,3.7161637507086236,39.146371447564704,147.38239085577928,330.89647160581563,501.3792943211631,CONNECTED,58.414829550019086,1144.5651092868711,3.7161204846976332,39.65935220960613,63.142200100677556,324.3439850607554,500.0687970121511,CONNECTED,61.62704234540249,1144.5445854667864,3.7160538489181376,40.442370428898414,-10.52459095645614,314.3377457530173,498.06754915060344,CONNECTED
241.0,1144.5627579329046,943.012975530301,1494.2025951060602,54.122916148226174,1144.5930389338869,3.7162111653697623,39.14403459639059,147.1227283300424,330.9264454711718,501.38528909423434,CONNECTED,58.42849650083098,1144.5797574337612,3.7161680436161078,39.658079865375605,63.103516373966734,324.3602917170415,500.0720583434083,CONNECTED,61.62482310827054,1144.5593436297636,3.7161017650317003,40.44236898903752,-10.226244703994515,314.3376585101003,498.06753170202006,CONNECTED
242.0,1144.5774271724806,943.0130308209592,1494.2026061641918,54.15472397095652,1144.6076534384636,3.7162586150599464,39.141702590663186,146.86417549239337,330.95635716620046,501.3912714332401,CONNECTED,58.442155149032395,1144.5944162248798,3.716215637093766,39.656809126356485,63.06518127466528,324.37657772319227,500.07531554463844,CONNECTED,61.62266829994436,1144.5741118635947,3.7161497138428397,40.44235934749004,-9.929356767056499,314.33767694031974,498.06753538806396,CONNECTED
243.0,1144.592106921669,943.0134010563825,1494.2026802112764,54.18647603562851,1144.6222786912665,3.7163060996469692,39.13937541876897,146.60672746346128,330.9862068395112,501.3972413679022,CONNECTED,58.45580556964276,1144.6090856199853,3.7162632649999523,39.65553998451628,63.02719255767864,324.39284318263697,500.0785686365274,CONNECTED,61.62057760549533,1144.5888901309079,3.7161976952302203,40.44234155792809,-9.633920021136749,314.3378003521275,498.0675600704255,CONNECTED
